Player Name,School Name,Team,Year
Freddy Rogers,University of Mary Washington,First,2024
Max Clivio,Tufts University,First,2024
Jared Hecht,Gustavus Adolphus College,First,2024
Luke Madden,Middlebury College,First,2024
Nelsar Castillo,University of Mary Washington,First,2024
Koa Kaliebe,Franklin & Marshall College,First,2024
Mateo Marra,SUNY Cortland,First,2024
Carter Berg,University of Mary Washington,First,2024
Nathan Donovan,University of Wisconsin-Eau Claire,First,2024
Connor Gage,Edgewood College,First,2024
Diego Rivera,Buffalo State College,First,2024
Christian Burkhart,St. John Fisher College,Second,2024
Alex Wolter,Colorado College,Second,2024
Matt Nguyen,Kenyon College,Second,2024
JonConnor Rule,Trinity University (Texas),Second,2024
Benjamin Velasquez,University of Lynchburg,Second,2024
Kento Abe,Babson College,Second,2024
Francis Meyer,Johns Hopkins University,Second,2024
Manuel Prieto,Buffalo State College,Second,2024
Weyimi Agbeyegbe,Washington & Lee University,Second,2024
Shea Bechtel,St. Olaf College,Second,2024
Carter Hancock,University of Mount Union,Second,2024
Saul Iwowo,Dickinson College,Second,2024
Jake Krueger,Denison University,Second,2024
Tommy Prokos,Denison University,Third,2024
Walker White,Babson College,Third,2024
Jack Leahy,SUNY Alfred,Third,2024
Hugo Neborg,North Park University,Third,2024
Brady West,Ohio Wesleyan University,Third,2024
Nicholas Graeca,John Carroll University,Third,2024
Ethan Jarden,Dickinson College,Third,2024
Rafael Otero,Claremont-McKenna-Scripps Colleges,Third,2024
Jared Fiske,Vassar College,Third,2024
Matt Shultz,SUNY Cortland,Third,2024
Ali Somow,SUNY Oneonta,Third,2024
Shawn Tanaka,Juniata College,Third,2024
Johnny Troiano,Rowan University,Third,2024
Ben Diffley,Williams College,Fourth,2024
Turlough Gartlan,Rowan University,Fourth,2024
Curtis Hale,Colorado College,Fourth,2024
Henri Heyes,Denison University,Fourth,2024
Alex Lessman,SUNY Cortland,Fourth,2024
Tyler Huck,Bowdoin College,Fourth,2024
Owen Johnson,Gustavus Adolphus College,Fourth,2024
Alex Moody,Virginia Wesleyan University,Fourth,2024
Manzi Shalita,University of Lynchburg,Fourth,2024
Ben Alram,Oglethorpe University,Fourth,2024
Mohammad Nuhu,Amherst College,Fourth,2024
Matt Scoffone,Connecticut College,Fourth,2024
Holden Woodings,Catholic University,Fourth,2024
Daniel Wunder,Calvin University,First,2023
Steven Arthur,Milwaukee School of Engineering,First,2023
Max Clivio,Tufts University,First,2023
Christopher Comber,Washington College (Md.),First,2023
Justin Crawmer,Carleton College,First,2023
Victor Gaulmin,St. Olaf College,First,2023
Carter Hancock,University of Mount Union,First,2023
Jack Manke,Texas Lutheran University,First,2023
Mateo Marra,SUNY Cortland,First,2023
Ben Alram,Oglethorpe University,First,2023
Enrique Gonzalez,Aurora University,First,2023
Josh Kirkland,University of Mary Washington,First,2023
Amer Lukovic,Montclair State University,First,2023
Matt McDonald,Messiah University,First,2023
Nathan Prex,Lebanon Valley College,First,2023
Jalen Depenbrock,Aurora University,Second,2023
Dylan Alic,Dominican University,Second,2023
Ian Chesney,Montclair State University,Second,2023
Evan Karp,Occidental College,Second,2023
Luke Madden,Middlebury College,Second,2023
Ben Vollmer,Messiah University,Second,2023
Oliver Akintade,Calvin University,Second,2023
Bruno Andino,Stevens Institute of Technology,Second,2023
Jarette Barajas,University of Redlands,Second,2023
Koa Kaliebe,Franklin & Marshall College,Second,2023
Matthew Vatne,Case Western Reserve University,Second,2023
Chen Adjei,Trinity University (Texas),Second,2023
Shea Bechtel,St. Olaf College,Second,2023
Carter Berg,University of Mary Washington,Second,2023
Harley Kruschwitz,Manchester University,Second,2023
Chris Schau,Calvin University,Second,2023
Ryan Yetishefsky,University of Chicago,Second,2023
Brennon Woody,Wartburg College,Third,2023
Otis Anderson,Gustavus Adolphus College,Third,2023
John Bernardi,SUNY Oneonta,Third,2023
Fritz Kabeiseman,Stevens Institute of Technology,Third,2023
Niall Shea,Roger Williams University,Third,2023
Brady West,Ohio Wesleyan University,Third,2023
Owen Fauth,Vassar College,Third,2023
Gabe Francesconi,University of Mary Washington,Third,2023
Caleb Urban,Rose-Hulman Institute of Technology,Third,2023
Weyimi Agbeyegbe,Washington & Lee University,Third,2023
Sean Fatiga,Widener University,Third,2023
Louis Gazo,Babson College,Third,2023
Oscar Horwitz,Franklin & Marshall College,Third,2023
Luke Mega,University of Lynchburg,Third,2023
Ada Okorogheye,Amherst College,Third,2023
Matt Scoffone,Connecticut College,Third,2023
Ali Somow,SUNY Oneonta,Third,2023
Francesco Valagussa,Worcester Polytechnic Institute,Third,2023
Nate Hanna,SUNY Oneonta,First,2022
Richard Gillespie,University of Chicago,First,2022
Jake Lent-Koop,Messiah University,First,2022
Dylan Reid,Bowdoin College,First,2022
Bruno Andino,Stevens Institute of Technology,First,2022
Pierce Gallaway,Willamette University,First,2022
Luke Groothoff,Messiah University,First,2022
Michael Kutsanzira,Washington & Lee University,First,2022
Marvin Sibanda,St. Lawrence University,First,2022
Jesus Aleman,University of Saint Thomas (Texas),First,2022
Nathan Donovan,University of Wisconsin-Eau Claire,First,2022
Lucas Fecci,SUNY Oneonta,First,2022
Matt McDonald,Messiah University,First,2022
Ada Okorogheye,Amherst College,First,2022
Joseph Thongsythavong,Norwich University,First,2022
Wesley Sanders,Gustavus Adolphus College,Second,2022
Zach Shunnarah,Sewanee-University of the South,Second,2022
Tyler Smith,Washington & Lee University,Second,2022
Tim Treinen,Johns Hopkins University,Second,2022
Oliver Akintade,Calvin University,Second,2022
Scott Upton,Kenyon College,Second,2022
Caleb Urban,Rose-Hulman Institute of Technology,Second,2022
Ander Castillo,Medaille College,Second,2022
Takezo Kelly,Rose-Hulman Institute of Technology,Second,2022
Amer Lukovic,Montclair State University,Second,2022
Luke Mega,University of Lynchburg,Second,2022
Blake Perry,University of Wisconsin-Superior,Second,2022
Chris Schau,Calvin University,Second,2022
Darius Siahpoosh,Catholic University,Second,2022
Ben Williams,Babson College,Second,2022
Justin Cross,Stevens Institute of Technology,Third,2022
Puma Galvan,Wisconsin Lutheran University,Third,2022
Steven Arthur,Milwaukee School of Engineering,Third,2022
Nick Boardman,Williams College,Third,2022
Izac Coleman,John Carroll University,Third,2022
Shay Adamson,Franklin & Marshall College,Third,2022
Samuel Bass,Washington & Lee University,Third,2022
Javier Beltran,Roger Williams University,Third,2022
Victor Gaulmin,St. Olaf College,Third,2022
Julian Juantorena,Bowdoin College,Third,2022
Matthew Vatne,Case Western Reserve University,Third,2022
Nick Villanueva,University of Mary Hardin-Baylor,Third,2022
Aidan Westerberg,North Central College,Third,2022
Daniel Castro,University of Saint Thomas (Texas),Third,2022
Luis Green,Texas Lutheran University,Third,2022
Josh Kirkland,University of Mary Washington,Third,2022
Adam Silva,Stevens Institute of Technology,Third,2022
