Player Name,School Name,Team,Year
Clemente Arcuch Puig,St. Olaf,First,2024
Ryan Bechtel,St. Olaf,First,2024
Shea Bechtel,St. Olaf,First,2024
Owen Flanagan,Carleton,First,2024
Joe Flory,Gustavus,First,2024
Hans Haenicke,Macalester,First,2024
Mizael Harris,Augsburg,First,2024
Jared Hecht,Gustavus,First,2024
Aidan Hillis,St. Olaf,First,2024
Owen Johnson,Gustavus,First,2024
Jessie Juarez,Hamline,First,2024
Nick Kent,Macalester,First,2024
Ricky Kwabena Yawson,Hamline,First,2024
Tomas Menna,Augsburg,First,2024
Jordan Oberholtzer,Bethel,First,2024
Briggs Priem,Carleton,First,2024
Jordan Ross,Bethel,First,2024
Daniel Sessler,Saint Mary’s,First,2024
Evan Siefken,Saint John’s,First,2024
Spencer Skjeldestad,Gustavus,First,2024
Joseph Swallen,Augsburg,First,2024
Ryder Tomlinson Sterud,Hamline,First,2024
Ben Beckman,St. Olaf,Honorable Mention,2024
Kasdan Blattman,Macalester,Honorable Mention,2024
Foster Conlin,Saint John’s,Honorable Mention,2024
Chris Frantz,Macalester,Honorable Mention,2024
Mitchel Munzing,Augsburg,Honorable Mention,2024
Ben Pennell,Carleton,Honorable Mention,2024
Gabriel Marchesoni,St. Scholastica,Honorable Mention,2024
Caspar Olseth,St. Olaf,Honorable Mention,2024
Remus Repcak,Augsburg,Honorable Mention,2024
Ryan Swanda,Bethel,Honorable Mention,2024
Will Swanda,Bethel,Playoff,2024
Clemente Arcuch Puig,St. Olaf,Playoff,2024
Ryan Bechtel,St. Olaf,Playoff,2024
Robi Buzakovic,St. Olaf,Playoff,2024
Owen Flanagan,Carleton,Playoff,2024
Mizael Harris,Augsburg,Playoff,2024
Jared Hecht,Gustavus,Playoff,2024
Nick Kent,Macalester,Playoff,2024
Ben Pennell,Carleton,Playoff,2024
Jeffrey Richter,Augsburg,Playoff,2024
Spencer Skjeldestad,Gustavus,Playoff,2024
Will Swanda,Bethel,Playoff,2024
Otis Anderson,Gustavus,First,2023
Matt D. Anderson,Saint John’s,First,2023
Shea Bechtel,St. Olaf,First,2023
Kasdan Blattman,Macalester,First,2023
Robi Buzakovic,St. Olaf,First,2023
Keegan Chastey,St. Scholastica,First,2023
Justin Crawmer,Carleton,First,2023
Victor Gaulmin,St. Olaf,First,2023
Hans Haenicke,Macalester,First,2023
Mizael Harris,Augsburg,First,2023
Jared Hecht,Gustavus,First,2023
Kebba Janneh,Augsburg,First,2023
Owen Johnson,Gustavus,First,2023
Trevor Jones,Carleton,First,2023
Jessie Juarez,Hamline,First,2023
Nick Kent,Macalester,First,2023
Casey McCloskey,St. Olaf,First,2023
Hakeem Morgan,St. Olaf,First,2023
Mitchel Munzing,Augsburg,First,2023
Ben Pennell,Carleton,First,2023
Wesley Sanders,Gustavus,First,2023
Evan Siefken,Saint John’s,First,2023
Drew Collins,Augsburg,Honorable Mention,2023
Elijah Edelman,Macalester,Honorable Mention,2023
Owen Gallo,Concordia,Honorable Mention,2023
Noah Hermanson,Saint John’s,Honorable Mention,2023
Jack Hurley,Saint Mary’s,Honorable Mention,2023
Daniel Linder,Carleton,Honorable Mention,2023
Briggs Priem,Carleton,Honorable Mention,2023
Jordan Ross,Bethel,Honorable Mention,2023
Daniel Sessler,Saint Mary’s,Honorable Mention,2023
Ian Staresinic,Macalester,Honorable Mention,2023
Ryan Swanda,Bethel,Honorable Mention,2023
Ryder Tomlinson Sterud,Hamline,Playoff,2023
Kasdan Blattman,Macalester,Playoff,2023
Robi Buzakovic,St. Olaf,Playoff,2023
Victor Gaulmin,St. Olaf,Playoff,2023
Alexander Grosse,Carleton,Playoff,2023
Mizael Harris,Augsburg,Playoff,2023
Sam Just,Gustavus,Playoff,2023
Daniel Linder,Carleton,Playoff,2023
Casey McCloskey,St. Olaf,Playoff,2023
Diego Paulin,Gustavus,Playoff,2023
Evan Siefken,Saint John’s,Playoff,2023
Ian Staresinic,Macalester Jr.,Playoff,2023
Otis Anderson,Gustavus,First,2022
Shea Bechtel,St. Olaf,First,2022
Robi Buzakovic,St. Olaf,First,2022
Matthias Caspari,Bethel,First,2022
Keegan Chastey,St. Scholastica,First,2022
Drew Collins,Augsburg,First,2022
Thomas Dono,Macalester,First,2022
Victor Gaulmin,St. Olaf,First,2022
Hans Haenicke,Macalester,First,2022
Jared Hecht,Gustavus,First,2022
Owen Johnson,Gustavus,First,2022
Trevor Jones,Carleton,First,2022
Riaz Kelly,Carleton,First,2022
Nick Kent,Macalester,First,2022
Casey McCloskey,St. Olaf,First,2022
Wesley Sanders,Gustavus,First,2022
Branko Sciortino,Macalester,First,2022
Evan Siefken,Saint John’s,First,2022
Ryan Swanda,Bethel,First,2022
Telvin Vah,Concordia,First,2022
Logan Weller,Hamline,First,2022
Nick Zuchowski,Augsburg,First,2022
Aidan Becken,Saint John’s,Honorable Mention,2022
Robert Cooper,Hamline,Honorable Mention,2022
Alex Giles,Augsburg,Honorable Mention,2022
Sam Just,Gustavus,Honorable Mention,2022
Clemente Arcuch Puig,St. Olaf,Honorable Mention,2022
Daniel Sessler,Saint Mary’s,Honorable Mention,2022
Jonathan Vonderlage,Carleton,Honorable Mention,2022
