Player Name,School Name,Region,Team,Year
Ben Diffley,Williams College,I,First,2024
Aidan Bagley,Johnson & Wales University,I,First,2024
Max Clivio,Tufts University,I,First,2024
Luke Madden,Middlebury College,I,First,2024
Liam Gerken,Tufts University,I,First,2024
Tyler Huck,Bowdoin College,I,First,2024
Niall Murphy,Amherst College,I,First,2024
Luke Peplowski,Hamilton College,I,First,2024
Mohammad Nuhu,Amherst College,I,First,2024
Fynn Hayton Ruffner,Amherst College,I,First,2024
Matt Scoffone,Connecticut College,I,First,2024
Peter Silvester,Connecticut College,I,Second,2024
Ben Clark-Eden,Amherst College,I,Second,2024
Will O'Brien,Middlebury College,I,Second,2024
Logan Erickson-Potter,University of Massachusetts-Boston,I,Second,2024
Colin Dugan,Middlebury College,I,Second,2024
Pandelis Margaronis,Hamilton College,I,Second,2024
Kadin Talho,Western Connecticut State,I,Second,2024
Tife Agunloye,Bates College,I,Second,2024
Xavier Canfin,Tufts University,I,Second,2024
Joshua Joseph,Thomas College,I,Second,2024
Gavin Randolph,Middlebury College,I,Second,2024
Nikola Antic,Tufts University,I,Third,2024
Valter Santiago,Anna Maria College,I,Third,2024
Walker White,Babson College,II,First,2024
Jude Sargent,United States Coast Guard Academy,II,First,2024
Sam Kalishman,Babson College,II,First,2024
Liam Goldstein,Babson College,II,First,2024
Kento Abe,Babson College,II,First,2024
Shikhar Motupally,Massachusetts Institute of Technology,II,First,2024
Tiago Frazao,Endicott College,II,First,2024
Daniel Goba,Salve Regina University,II,First,2024
James Donaldson,Babson College,II,First,2024
Aaron Vaz,Worcester Polytechnic Institute,II,First,2024
Aki Freeman,United States Coast Guard Academy,II,First,2024
Nathan Harlow,Suffolk University,II,Second,2024
Tim Lynch,Endicott College,II,Second,2024
Ryan Bell,Wheaton College (Mass.),II,Second,2024
Jack Phelps,Suffolk University,II,Second,2024
Jack Minor,Massachusetts Institute of Technology,II,Second,2024
Jack Wildermann,Roger Williams University,II,Second,2024
Reiner Osselmann-Chai,Brandeis University,II,Second,2024
Connor Policarpio,Springfield College,II,Second,2024
Francisco Valck,Suffolk University,II,Second,2024
Alasdair Ferrier,Wheaton College (Mass.),II,Second,2024
Theodore Bushara,Emerson College,II,Second,2024
Quinton Wrabley,Brandeis University,II,Third,2024
Andres Gonzalez,Brandeis University,II,Third,2024
Christian Burkart,St. John Fisher University,III,First,2024
Ryan Brown,St. John Fisher University,III,First,2024
Alex Lessman,SUNY Cortland,III,First,2024
Joe Vogt,SUNY Geneseo,III,First,2024
John Hayes,Plattsburgh State University,III,First,2024
Mateo Marra,SUNY Cortland,III,First,2024
Manuel Prieto,Buffalo State College,III,First,2024
Arden Tobolski,Vassar College,III,First,2024
Jared Fiske,Vassar College,III,First,2024
Diego Rivera,Buffalo State College,III,First,2024
Matt Shultz,SUNY Cortland,III,First,2024
Ali Somow,SUNY Oneonta,III,First,2024
George Charalambous,St. Lawrence University,III,Second,2024
Santino Lupica-Tondo,University of Rochester,III,Second,2024
Brian Coughlan,Plattsburgh State University,III,Second,2024
Salvador Gomes,Buffalo State College,III,Second,2024
Ryan Fitzgerald,Nazareth College,III,Second,2024
Milos Bisenic,University of Rochester,III,Second,2024
Jacob McGinnis,St. John Fisher University,III,Second,2024
Jake Pawlika,Nazareth College,III,Second,2024
Henry Brown,St. Lawrence University,III,Second,2024
Drew Decker,Nazareth College,III,Second,2024
Max Mogul,St. Lawrence University,III,Second,2024
Jhonny Theze,SUNY Polytechnic Insititute,III,Second,2024
Jacob Raphan,Vassar College,III,Third,2024
Jackson Hall,Vassar College,III,Third,2024
HaJoon Lee,SUNY Oswego,III,Third,2024
Alberto Molina,SUNY New Paltz,III,Third,2024
Kyle Gehnrich,SUNY Oswego,III,Third,2024
Derek Marques,SUNY Oneonta,III,Third,2024
Thomas Nimineh,SUNY Polytechnic Insititute,III,Third,2024
LaZai Outerbridge,Hobart College,III,Third,2024
Joey Avallone,St. John Fisher University,III,Third,2024
Russ Domm,College at Brockport,III,Third,2024
Luigi Prosperi,SUNY Oneonta,III,Third,2024
Christian Micheli,SUNY New Paltz,III,Fourth,2024
Adrian Matute,SUNY Oneonta,III,Fourth,2024
Jackson Allen,Vassar College,III,Fourth,2024
Kol Bassuck,University of Rochester,III,Fourth,2024
Jack Pinnata,SUNY Cortland,III,Fourth,2024
Nate Masucci,SUNY Oneonta,III,Fourth,2024
Stefen Nikolic,SUNY Geneseo,III,Fourth,2024
Nick Swanger,University of Rochester,III,Fourth,2024
Alex Wyant,SUNY New Paltz,III,Fourth,2024
Brian Taylor,SUNY Fredonia,III,Fourth,2024
Max Voyer,College at Brockport,III,Fourth,2024
Alessio Cristanetti-Walker,University of Rochester,III,Fourth,2024
Jimmy Shensky,DeSales University,IV,First,2024
Ian Chesney,Montclair State University,IV,First,2024
Turlough Gartlan,Rowan University,IV,First,2024
Ethan Hagen,Stevens Institute of Technology,IV,First,2024
Moses Beers,Cairn University,IV,First,2024
Ryan Cleary,Rowan University,IV,First,2024
Liam MacDonald,DeSales University,IV,First,2024
Jesse Brittain,Cairn University,IV,First,2024
Erick Cortes,Rutgers University-Newark,IV,First,2024
Nathan Prex,Lebanon Valley College,IV,First,2024
Johnny Troiano,Rowan University,IV,First,2024
Dominic Ridge,Kean University,IV,Second,2024
Tommy DeGeyter,Pennsylvania College of Technology,IV,Second,2024
Eric Swen,Rutgers University-Camden,IV,Second,2024
Terry Thompson,Stevens Institute of Technology,IV,Second,2024
Drew Weaver,Misericordia University,IV,Second,2024
Davide Caputo,Rowan University,IV,Second,2024
Genti Dauti,Fairleigh Dickinson University-Florham,IV,Second,2024
Osbin Mendez,Montclair State University,IV,Second,2024
Ernst Louisius,Stockton University,IV,Second,2024
Gianfranco Ponce,Ramapo College,IV,Second,2024
Drilon Toska,Fairleigh Dickinson University-Florham,IV,Second,2024
Brendan Werner,Penn State University-Abington,IV,Third,2024
Jack Nelson,St. Mary's College of Maryland,IV,Third,2024
Max Mattioni,Juniata College,V,First,2024
Mikkel Andersen,Johns Hopkins University,V,First,2024
Logan Campbell,University of Scranton,V,First,2024
Jarec Morlote,Messiah University,V,First,2024
Ethan Jarden,Dickinson College,V,First,2024
